,mean_red,mean_green,mean_pc,eccentricity,area,ymin,xmin,ymax,xmax,y,x,interior,class
55,0.04258977671680156,0.2736556284003376,0.33680402119606484,0.521640530957301,21.0,34.0,320.0,40.0,326.0,36.285714285714285,322.2857142857143,True,2
56,0.047691815681249895,0.19209335004252828,0.3600793925973488,0.6324555320336758,31.0,35.0,270.0,42.0,277.0,38.0,273.0,True,1
57,0.08497841119771118,0.31648169641629803,0.32897294191371257,0.3973597071195132,18.0,35.0,470.0,40.0,476.0,37.0,472.5,True,2
58,0.05334214290801051,0.026634387752614782,0.3076811016021621,0.3973597071195132,18.0,35.0,703.0,41.0,708.0,37.5,705.0,True,1
59,0.11133001896808604,0.31674770159173876,0.3375734404351658,0.3973597071195132,18.0,35.0,1153.0,41.0,1158.0,37.5,1155.0,True,2
60,0.056016356239492714,0.026728173595191387,0.40485377967024583,0.5208218288953802,72.0,36.0,798.0,46.0,808.0,40.416666666666664,802.8333333333334,True,1
61,0.04116092182105878,0.026125215144165957,0.4092136848974287,0.531185881666035,74.0,37.0,450.0,47.0,461.0,41.2027027027027,454.7162162162162,True,1
62,0.05752547255799412,0.026592304995909324,0.4137529971068729,0.7619922558892601,65.0,37.0,1117.0,48.0,1126.0,41.33846153846154,1121.5076923076922,True,1
63,0.038157464394958776,0.02661242472541393,0.3785294628382217,0.7457298409494931,33.0,38.0,708.0,45.0,716.0,41.09090909090909,711.7272727272727,True,1
64,0.04450981717744277,0.02696007497894291,0.40544600841275263,0.6287243670617393,48.0,39.0,496.0,47.0,505.0,42.770833333333336,500.1666666666667,True,1
65,0.037763241538197254,0.0266328458906822,0.37391588954982885,0.9036991142235474,35.0,39.0,739.0,45.0,750.0,41.25714285714286,744.2285714285714,True,1
66,0.271498635866348,0.058117655718378965,0.33535589534028776,0.6724972031554177,24.0,39.0,854.0,45.0,861.0,41.5,857.0,True,1
67,0.04112792350429214,0.02697811057138233,0.4106909778758388,0.4057057996908408,120.0,43.0,464.0,56.0,477.0,48.666666666666664,469.925,True,1
68,0.04446915601901015,0.026508712140161275,0.4014968860462243,0.5589731682342419,90.0,43.0,1023.0,54.0,1033.0,48.03333333333333,1027.6,True,1
69,0.10295899157362612,0.26308751934014535,0.36051770785706927,0.5820398277237746,47.0,44.0,262.0,53.0,270.0,47.59574468085106,265.51063829787233,True,2
70,0.07910992974997288,0.058294351032504486,0.38806614784852334,0.5883484054145521,23.0,44.0,1246.0,51.0,1251.0,47.0,1248.0,True,1
71,0.04012899650139255,0.0241071398689207,0.39256283106811557,0.42108523523200914,72.0,46.0,163.0,55.0,173.0,50.25,167.5,True,1
72,0.096887206133424,0.03460965628620339,0.371424037393614,0.0,24.0,47.0,343.0,53.0,349.0,49.5,345.5,True,1
73,0.05098238298704264,0.026123458526318182,0.377964942503337,0.605011574994585,26.0,47.0,552.0,53.0,559.0,49.76923076923077,555.2307692307693,True,1
74,0.04126901746343075,0.026715460886111323,0.4077415131651136,0.6663912199396304,57.0,47.0,851.0,56.0,860.0,50.80701754385965,855.2982456140351,True,1
75,0.11728921124756087,0.3871829596224087,0.3420439716870649,0.7213156358731775,34.0,48.0,209.0,55.0,217.0,50.8235294117647,212.73529411764707,True,2
76,0.04881814559142475,0.02665649738128487,0.4025496853195065,0.5008015992301011,134.0,48.0,791.0,62.0,804.0,54.5,797.2089552238806,True,1
77,0.049459445286346826,0.026176063229915083,0.395517997555789,0.4937292411762707,74.0,48.0,1043.0,59.0,1052.0,52.932432432432435,1047.0135135135135,True,1
78,0.04412986878810072,0.025924368761217793,0.398954043604289,0.46666630480345267,123.0,49.0,418.0,62.0,430.0,54.9349593495935,423.7886178861789,True,1
79,0.0790214193679209,0.3097071573298832,0.3292936706960418,0.521640530957301,21.0,50.0,439.0,56.0,445.0,52.714285714285715,441.7142857142857,True,2
80,0.08534474385919416,0.24195132658985918,0.3983121677812873,0.9421848676144633,48.0,51.0,702.0,64.0,711.0,56.75,705.75,True,2
81,0.035334107975874156,0.026405835421006472,0.4137367600551264,0.5805546618024894,65.0,52.0,842.0,62.0,851.0,56.69230769230769,846.2615384615384,True,1
82,0.02427959995652323,0.022511006407541247,0.4138272400584572,0.4380744194980659,107.0,54.0,25.0,66.0,38.0,58.91588785046729,31.22429906542056,True,1
83,0.022409381926320734,0.023214713980772628,0.4149186029092896,0.3131121455425749,74.0,54.0,85.0,64.0,95.0,58.5,89.5,True,1
84,0.039459333285697014,0.025668886830460876,0.3921097751900887,0.0,13.0,54.0,554.0,59.0,559.0,56.0,556.0,True,1
85,0.046153873683028236,0.025964018478803717,0.398899091404255,0.48351425236615697,64.0,55.0,628.0,65.0,637.0,59.5,632.0,True,1
86,0.2032561050070383,0.04059201942163665,0.33674535329218314,0.5281094452574665,27.0,56.0,57.0,62.0,64.0,58.333333333333336,59.77777777777778,True,1
87,0.04702290397750309,0.02823602947476849,0.3772813201737182,0.708664665903118,23.0,56.0,711.0,63.0,717.0,59.0,713.3913043478261,True,1
88,0.0434222943174826,0.026500792615938316,0.4051519057772924,0.36501165073848046,84.0,56.0,874.0,67.0,885.0,60.976190476190474,879.3095238095239,True,1
